company,job,place,exp,salary,combined
"Yuvii Consultancy Private Limited                        
Actively hiring",Computer Operator,Ahmedabad,0 year(s),"₹ 2,00,000 - 2,50,000","computer operator yuvii consultancy private limited                        
actively hiring ahmedabad"
"Samarik Digital (Samarik Tech India Private Limited)                        
Actively hiring",Performance Marketing Executive,Mumbai                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 3,50,000","performance marketing executive samarik digital (samarik tech india private limited)                        
actively hiring mumbai                                                    (hybrid)"
"Heterize Infotech Private Limited                        
Actively hiring",Business Development Associate (Inside Sales/Field Sales),Indore,0 year(s),"₹ 5,00,000 - 7,00,000","business development associate (inside sales/field sales) heterize infotech private limited                        
actively hiring indore"
"SAAR Advertising And Marketing                        
Actively hiring",Client Service Executive,Dehradun,1 year(s),"₹ 2,00,000","client service executive saar advertising and marketing                        
actively hiring dehradun"
"Unfade Creations Private Limited                        
Actively hiring",Video Editor,Jaipur,1 year(s),"₹ 2,16,000 - 2,64,000","video editor unfade creations private limited                        
actively hiring jaipur"
"TaptoHello                        
Actively hiring",Data Entry Executive,Noida,1 year(s),"₹ 3,00,000 - 5,00,000","data entry executive taptohello                        
actively hiring noida"
"Sharedpro                        
Actively hiring",Digital Marketing Specialist,Vadodara,0 year(s),"₹ 2,52,000 - 4,20,000","digital marketing specialist sharedpro                        
actively hiring vadodara"
"APRE Art House                        
Actively hiring",Gallery Associate,Mumbai,1 year(s),"₹ 2,00,000 - 4,50,000","gallery associate apre art house                        
actively hiring mumbai"
"Hiring Squad                        
Actively hiring",Customer Acquisition Specialist,Jaipur,0 year(s),"₹ 3,50,000","customer acquisition specialist hiring squad                        
actively hiring jaipur"
"Immabeme Solutions Private Limited                        
Actively hiring",Corporate Sales Executive,"Chandigarh, Dehradun, Lucknow                                                    (Hybrid)",0 year(s),"₹ 2,00,000 - 5,00,000","corporate sales executive immabeme solutions private limited                        
actively hiring chandigarh, dehradun, lucknow                                                    (hybrid)"
"Vivacys Controls                        
Actively hiring",Automation And Instrumentation Engineer,Mumbai                                                    (Hybrid),1 year(s),"₹ 3,00,000 - 5,00,000","automation and instrumentation engineer vivacys controls                        
actively hiring mumbai                                                    (hybrid)"
"The Tarzan Way                        
Actively hiring",Travel Specialist,Noida                                                    (Hybrid),0 year(s),"₹ 3,00,000 - 5,00,000","travel specialist the tarzan way                        
actively hiring noida                                                    (hybrid)"
"Iffat Khan                        
Actively hiring",Corporate Sales Executive,Gorakhpur,0 year(s),"₹ 2,00,000 - 2,16,000","corporate sales executive iffat khan                        
actively hiring gorakhpur"
"Vave Entertainment (LoudSound Studios LLP)                        
Actively hiring",Music Producer & Mixing Engineer,Mumbai,0 year(s),"₹ 2,00,000","music producer & mixing engineer vave entertainment (loudsound studios llp)                        
actively hiring mumbai"
"MentorBoxx                        
Actively hiring",Graphic Designer,Mumbai,1 year(s),"₹ 2,00,000 - 3,00,000","graphic designer mentorboxx                        
actively hiring mumbai"
"The Future University                        
Actively hiring",Graphic Designer,Mohali,1 year(s),"₹ 3,00,000 - 5,00,000","graphic designer the future university                        
actively hiring mohali"
"Second Medic                        
Actively hiring",Business Development Manager,Navi Mumbai,1 year(s),"₹ 3,00,000 - 5,00,000","business development manager second medic                        
actively hiring navi mumbai"
"Vicharak Computers LLP                        
Actively hiring",FPGA Developer,Surat,0 year(s),"₹ 4,00,000 - 7,00,000","fpga developer vicharak computers llp                        
actively hiring surat"
"Samarik Digital (Samarik Tech India Private Limited)                        
Actively hiring",Associate Graphic Designer,Mumbai                                                    (Hybrid),1 year(s),"₹ 2,40,000 - 3,00,000","associate graphic designer samarik digital (samarik tech india private limited)                        
actively hiring mumbai                                                    (hybrid)"
"Twist In Trip Travel Services Private Limited                        
Actively hiring",Junior Travel & Tourism Specialist,Gurgaon,1 year(s),"₹ 2,00,000 - 3,00,000","junior travel & tourism specialist twist in trip travel services private limited                        
actively hiring gurgaon"
"Crystal Hues Limited                        
Actively hiring",Business Development Executive,"Ghaziabad, Greater Noida, Noida",1 year(s),"₹ 2,50,000 - 2,75,000","business development executive crystal hues limited                        
actively hiring ghaziabad, greater noida, noida"
"Second Medic                        
Actively hiring",Business Development Executive,Navi Mumbai,1 year(s),"₹ 3,00,000 - 5,00,000","business development executive second medic                        
actively hiring navi mumbai"
"Inorbvict Healthcare India Private Limited                        
Actively hiring",Warehouse Team Lead,Pune,1 year(s),"₹ 3,00,000 - 4,08,000","warehouse team lead inorbvict healthcare india private limited                        
actively hiring pune"
"Tutoratti Learning Center                        
Actively hiring",Digital Marketing Executive,Pune,1 year(s),"₹ 2,00,000 - 2,20,000","digital marketing executive tutoratti learning center                        
actively hiring pune"
"Soulful Events                        
Actively hiring",Accountant,Lucknow,1 year(s),"₹ 2,00,000 - 2,01,000","accountant soulful events                        
actively hiring lucknow"
"APlus Enterprises Private Limited                        
Actively hiring",Marketing Executive,Mumbai,0 year(s),"₹ 2,40,000 - 3,00,000","marketing executive aplus enterprises private limited                        
actively hiring mumbai"
"Worldwide Clothing Company                        
Actively hiring",Corporate Sales Executive,"Thane, Mumbai",1 year(s),"₹ 3,00,000 - 7,00,000","corporate sales executive worldwide clothing company                        
actively hiring thane, mumbai"
"Analystt.ai                        
Actively hiring",Sales And Partnership Associate,Mumbai                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 6,00,000","sales and partnership associate analystt.ai                        
actively hiring mumbai                                                    (hybrid)"
"Growinity Solutions LLP                        
Actively hiring",Business Development Executive,Pune,0 year(s),"₹ 2,00,000 - 2,50,000","business development executive growinity solutions llp                        
actively hiring pune"
"Attrangi Designs                        
Actively hiring",Marketing Specialist (Female),Mumbai,1 year(s),"₹ 3,00,000 - 3,50,000","marketing specialist (female) attrangi designs                        
actively hiring mumbai"
"Teach Maven                        
Actively hiring",Inside Sales Representative,Bangalore,0 year(s),"₹ 4,00,000 - 7,00,000","inside sales representative teach maven                        
actively hiring bangalore"
"Nurture Xcel                        
Actively hiring",Digital Marketing Associate,Mumbai,1 year(s),"₹ 2,00,000 - 2,50,000","digital marketing associate nurture xcel                        
actively hiring mumbai"
"Ascender Marketing Solutions Pvt. Ltd.                        
Actively hiring",Client Acquisition Manager,Gurgaon,1 year(s),"₹ 4,80,000 - 6,00,000","client acquisition manager ascender marketing solutions pvt. ltd.                        
actively hiring gurgaon"
"Astrotalk                        
Actively hiring",Video Editor,Noida,1 year(s),"₹ 3,50,000 - 5,50,000","video editor astrotalk                        
actively hiring noida"
"Nite Flite                        
Actively hiring",Fashion Designer,Kolkata,1 year(s),"₹ 3,00,000 - 3,60,000","fashion designer nite flite                        
actively hiring kolkata"
"Vibrant Publishers                        
Actively hiring",Relationship Executive,Mumbai,1 year(s),"₹ 2,00,000 - 4,00,000","relationship executive vibrant publishers                        
actively hiring mumbai"
"Bezt Labs                        
Actively hiring",Relationship Manager,Kolkata,1 year(s),"₹ 3,00,000","relationship manager bezt labs                        
actively hiring kolkata"
"Ascender Marketing Solutions Pvt. Ltd.                        
Actively hiring",Client Service Associate,Gurgaon,1 year(s),"₹ 2,50,000 - 3,00,000","client service associate ascender marketing solutions pvt. ltd.                        
actively hiring gurgaon"
"Kraf Ventures                        
Actively hiring",Vendor Relations Specialist,Pune,0 year(s),"₹ 2,00,000 - 3,00,000","vendor relations specialist kraf ventures                        
actively hiring pune"
"Exquisite Employee Manifest                        
Actively hiring",Client Service Manager,Bangalore,1 year(s),"₹ 3,00,000 - 6,00,000","client service manager exquisite employee manifest                        
actively hiring bangalore"
"MentorBoxx                        
Actively hiring",Business Development Executive,Delhi,1 year(s),"₹ 5,00,000 - 7,00,000","business development executive mentorboxx                        
actively hiring delhi"
"Trinity Golf India Private Limited                        
Actively hiring",Corporate Sales Executive,"Delhi, Gurgaon",1 year(s),"₹ 3,60,000 - 4,50,000","corporate sales executive trinity golf india private limited                        
actively hiring delhi, gurgaon"
"5D VDC                        
Actively hiring",Human Resources (HR) Executive,Kolkata,1 year(s),"₹ 2,50,000 - 3,00,000","human resources (hr) executive 5d vdc                        
actively hiring kolkata"
"UniAcco                        
Actively hiring",Business Development Specialist,Mumbai,0 year(s),"₹ 3,00,000 - 3,60,000","business development specialist uniacco                        
actively hiring mumbai"
"UniAcco                        
Actively hiring",Sales Executive,Mumbai,0 year(s),"₹ 3,00,000 - 3,60,000","sales executive uniacco                        
actively hiring mumbai"
"360 Digital Idea                        
Actively hiring",Business Development Executive,Delhi,0 year(s),"₹ 2,00,000 - 3,00,000","business development executive 360 digital idea                        
actively hiring delhi"
"Moonstone Hammock                        
Actively hiring",Accountant,Mumbai,1 year(s),"₹ 2,00,000 - 2,50,000","accountant moonstone hammock                        
actively hiring mumbai"
"Samarik Digital (Samarik Tech India Private Limited)                        
Actively hiring",Junior Social Media Marketing Manager,Mumbai                                                    (Hybrid),1 year(s),"₹ 2,00,000 - 3,60,000","junior social media marketing manager samarik digital (samarik tech india private limited)                        
actively hiring mumbai                                                    (hybrid)"
"Crystal Hues Limited                        
Actively hiring",Project Management Trainee,Bangalore,1 year(s),"₹ 2,00,000 - 2,50,000","project management trainee crystal hues limited                        
actively hiring bangalore"
"WeMakeScholars                        
Actively hiring",Banking Sales Officer,"Guntur, Srikakulam, Hyderabad, Vijayawada, Secunderabad, Kompally, Ameerpet, Vishakhapatnam, Begumpet, Madhapur",0 year(s),"₹ 4,00,000 - 4,30,000","banking sales officer wemakescholars                        
actively hiring guntur, srikakulam, hyderabad, vijayawada, secunderabad, kompally, ameerpet, vishakhapatnam, begumpet, madhapur"
"Rudralife                        
Actively hiring",Social Media Strategist/PR Specialist,Mumbai,1 year(s),"₹ 5,00,000","social media strategist/pr specialist rudralife                        
actively hiring mumbai"
"Granicera Pvt Ltd                        
Actively hiring",Business Development Specialist,Bangalore,1 year(s),"₹ 2,00,000 - 4,00,000","business development specialist granicera pvt ltd                        
actively hiring bangalore"
"SANVER INDIA PRIVATE LIMITED                        
Actively hiring",Customer Success Executive,Mumbai,1 year(s),"₹ 3,00,000 - 5,00,000","customer success executive sanver india private limited                        
actively hiring mumbai"
"Oralens LLC                        
Actively hiring",Embedded Systems Specialist,Bangalore,1 year(s),"₹ 3,60,000 - 4,80,000","embedded systems specialist oralens llc                        
actively hiring bangalore"
"Distinct Destinations Private Limited                        
Actively hiring",Senior Executive-Finance,Mumbai,1 year(s),"₹ 2,50,000 - 3,60,000","senior executive-finance distinct destinations private limited                        
actively hiring mumbai"
"MHLondon                        
Actively hiring",Graphic Designer,Noida,1 year(s),"₹ 4,50,000 - 5,00,000","graphic designer mhlondon                        
actively hiring noida"
"Built Heritage Conservation Architects                        
Actively hiring",Junior Architect,Delhi,0 year(s),"₹ 2,40,000 - 2,70,000","junior architect built heritage conservation architects                        
actively hiring delhi"
"Redwolf Media                        
Actively hiring",Field Sales Executive,Coimbatore,0 year(s),"₹ 2,00,000 - 2,50,000","field sales executive redwolf media                        
actively hiring coimbatore"
"Niraj Academy For Excellence                        
Actively hiring",Academic Counsellor,Kolkata,0 year(s),"₹ 2,00,000 - 2,01,000","academic counsellor niraj academy for excellence                        
actively hiring kolkata"
"Qrata                        
Actively hiring",Corporate Sales Specialist,Mumbai,1 year(s),"₹ 8,00,000 - 12,00,000","corporate sales specialist qrata                        
actively hiring mumbai"
"Akaaro                        
Actively hiring",Corporate Sales Specialist,Gurgaon,0 year(s),"₹ 3,00,000 - 4,00,000","corporate sales specialist akaaro                        
actively hiring gurgaon"
"Travelope                        
Actively hiring",Junior Travel Consultant,"Mumbai, Vasai-Virar",0 year(s),"₹ 2,00,000 - 3,00,000","junior travel consultant travelope                        
actively hiring mumbai, vasai-virar"
"Aditya Vastu Studio                        
Actively hiring",Junior Architect,Pune,1 year(s),"₹ 3,00,000 - 3,50,000","junior architect aditya vastu studio                        
actively hiring pune"
"Samosa Party Foods Private Limited                        
Actively hiring",Command Centre Executive,Bangalore,0 year(s),"₹ 2,40,000 - 4,00,000","command centre executive samosa party foods private limited                        
actively hiring bangalore"
"Xboom Utilities Private Limited                        
Actively hiring",Telecaler,Bangalore,0 year(s),"₹ 2,50,000 - 5,00,000","telecaler xboom utilities private limited                        
actively hiring bangalore"
"Crystal Hues Limited                        
Actively hiring",Customer Success Executive (Product Sales),Bangalore,0 year(s),"₹ 2,00,000 - 2,50,000","customer success executive (product sales) crystal hues limited                        
actively hiring bangalore"
"Everything Beautiful Retail Private Limited                        
Actively hiring",Accountant,Bangalore,1 year(s),"₹ 2,00,000 - 2,50,000","accountant everything beautiful retail private limited                        
actively hiring bangalore"
"CyberFrat                        
Actively hiring",Motion Graphic Designer & Illustrator,Mumbai,1 year(s),"₹ 4,00,000 - 5,50,000","motion graphic designer & illustrator cyberfrat                        
actively hiring mumbai"
"Crystal Hues Limited                        
Actively hiring",Customer Success Executive (Website And Application Sales),Bangalore,0 year(s),"₹ 2,00,000 - 2,50,000","customer success executive (website and application sales) crystal hues limited                        
actively hiring bangalore"
"CollegeDekho.com                        
Actively hiring",Telecaller,Bangalore,0 year(s),"₹ 2,00,000 - 3,00,000","telecaller collegedekho.com                        
actively hiring bangalore"
"Barbell Cartel                        
Actively hiring",Sales Executive,Bangalore,1 year(s),"₹ 6,00,000 - 12,00,000","sales executive barbell cartel                        
actively hiring bangalore"
"CRAFX STUDIO                        
Actively hiring",Graphic Designer,"Thane, Navi Mumbai, Mumbai",1 year(s),"₹ 2,00,000 - 4,00,000","graphic designer crafx studio                        
actively hiring thane, navi mumbai, mumbai"
"Spotlight Design House                        
Actively hiring",Graphic Designer And Operations Associate,Mumbai,0 year(s),"₹ 2,00,000","graphic designer and operations associate spotlight design house                        
actively hiring mumbai"
"Inspacco                        
Actively hiring",Sales Manager,Pune,1 year(s),"₹ 2,00,000 - 4,00,000","sales manager inspacco                        
actively hiring pune"
"CHALKSNBOARD Private Limited                        
Actively hiring",Graphic Designer,Gurgaon,1 year(s),"₹ 2,00,000 - 2,50,000","graphic designer chalksnboard private limited                        
actively hiring gurgaon"
"Internshala                        
Actively hiring",Corporate Sales Associate,Gurgaon,1 year(s),"₹ 6,60,000 - 8,00,000","corporate sales associate internshala                        
actively hiring gurgaon"
"Globussoft                        
Actively hiring",Front Desk Executive (Female Candidates ),Bangalore,1 year(s),"₹ 2,00,000 - 2,50,000","front desk executive (female candidates ) globussoft                        
actively hiring bangalore"
"Exquisite Employee Manifest                        
Actively hiring",Senior Sales Executive,Vijayawada,1 year(s),"₹ 3,00,000 - 5,00,000","senior sales executive exquisite employee manifest                        
actively hiring vijayawada"
"CollegeDekho.com                        
Actively hiring",Academic Counselor,Gurgaon,0 year(s),"₹ 2,00,000 - 3,00,000","academic counselor collegedekho.com                        
actively hiring gurgaon"
"Diasimos Private Limited                        
Actively hiring",PR & Communications Executive,Ahmedabad,1 year(s),"₹ 2,18,000 - 4,20,000","pr & communications executive diasimos private limited                        
actively hiring ahmedabad"
"Fahad  Siddiqui                        
Actively hiring",Business Development Associate,Bhopal,1 year(s),"₹ 3,00,000 - 3,50,000","business development associate fahad  siddiqui                        
actively hiring bhopal"
"SAAR Advertising And Marketing                        
Actively hiring",Junior Search Engine Optimization (SEO) Executive,Dehradun,1 year(s),"₹ 2,00,000 - 2,10,000","junior search engine optimization (seo) executive saar advertising and marketing                        
actively hiring dehradun"
"Technoculture Research                        
Actively hiring",Electrochemical Specialist,Taleigao,1 year(s),"₹ 2,00,000 - 2,50,000","electrochemical specialist technoculture research                        
actively hiring taleigao"
"Diasimos Private Limited                        
Actively hiring",PR & Marketing Executive,Ahmedabad,1 year(s),"₹ 2,60,000 - 3,50,000","pr & marketing executive diasimos private limited                        
actively hiring ahmedabad"
"Skillyards Versatility Pvt Ltd.                        
Actively hiring",Business Development Manager,Agra,1 year(s),"₹ 2,40,000 - 4,00,000","business development manager skillyards versatility pvt ltd.                        
actively hiring agra"
"GC Architect And Associates                        
Actively hiring",Interior Designer,Varanasi,1 year(s),"₹ 2,00,000 - 2,50,000","interior designer gc architect and associates                        
actively hiring varanasi"
"Diasimos Private Limited                        
Actively hiring",International Marketing Manager,Ahmedabad,1 year(s),"₹ 2,50,000 - 3,50,000","international marketing manager diasimos private limited                        
actively hiring ahmedabad"
"Acoustika India Private Limited                        
Actively hiring",Customer Support Head (Female),"Ghaziabad, Greater Noida, Noida, Gautam Buddh Nagar, Delhi, Vasundhra",1 year(s),"₹ 2,60,000 - 3,60,000","customer support head (female) acoustika india private limited                        
actively hiring ghaziabad, greater noida, noida, gautam buddh nagar, delhi, vasundhra"
"Diasimos Private Limited                        
Actively hiring",PR & Marketing Executive,Ahmedabad,1 year(s),"₹ 2,16,000 - 3,00,000","pr & marketing executive diasimos private limited                        
actively hiring ahmedabad"
"Movie'ing Moments                        
Actively hiring",Creative Director,Mumbai,1 year(s),"₹ 3,60,000 - 8,40,000","creative director movie'ing moments                        
actively hiring mumbai"
"Diasimos Private Limited                        
Actively hiring",Business Development Manager,Ahmedabad,1 year(s),"₹ 2,16,000 - 3,00,000","business development manager diasimos private limited                        
actively hiring ahmedabad"
"Diasimos Private Limited                        
Actively hiring",Digital Marketing Associate,Ahmedabad,1 year(s),"₹ 2,16,000 - 3,00,000","digital marketing associate diasimos private limited                        
actively hiring ahmedabad"
"Wehire Talent Solutions                        
Actively hiring",Customer Service Associate,"Mumbai, Thane",1 year(s),"₹ 2,00,000 - 4,00,000","customer service associate wehire talent solutions                        
actively hiring mumbai, thane"
"Diasimos Private Limited                        
Actively hiring",International Marketing Manager,Ahmedabad,1 year(s),"₹ 2,16,000 - 3,50,000","international marketing manager diasimos private limited                        
actively hiring ahmedabad"
"PROVEN PATH CONSULTANCY                        
Actively hiring",Graphic Designer,Gurgaon,0 year(s),"₹ 2,00,000 - 2,50,000","graphic designer proven path consultancy                        
actively hiring gurgaon"
"Zedex Info Private Limited                        
Actively hiring",Data Entry Associate,Mumbai,0 year(s),"₹ 2,00,000","data entry associate zedex info private limited                        
actively hiring mumbai"
"Highway Delite                        
Actively hiring",Field Sales Executive,Mumbai,1 year(s),"₹ 2,20,000 - 2,40,000","field sales executive highway delite                        
actively hiring mumbai"
"Exquisite Employee Manifest                        
Actively hiring",Junior Media & Public Relations (PR) Associate,Panchkula,1 year(s),"₹ 3,00,000 - 6,00,000","junior media & public relations (pr) associate exquisite employee manifest                        
actively hiring panchkula"
"The Whitespace Architects                        
Actively hiring",Junior Architect,Varanasi,0 year(s),"₹ 2,40,000 - 3,50,000","junior architect the whitespace architects                        
actively hiring varanasi"
"WhizJuniors                        
Actively hiring",Backend Operations Executive,Mumbai,1 year(s),"₹ 2,00,000 - 2,10,000","backend operations executive whizjuniors                        
actively hiring mumbai"
"Sharedpro                        
Actively hiring",Accountant,Vadodara,1 year(s),"₹ 2,60,000 - 3,00,000","accountant sharedpro                        
actively hiring vadodara"
"Wehire Talent Solutions                        
Actively hiring",Customer Service Executive,Mumbai,1 year(s),"₹ 2,00,000 - 2,50,000","customer service executive wehire talent solutions                        
actively hiring mumbai"
"Brave Artificial Intelligence Laboratory                        
Actively hiring",CEO Office Manager,Betul,0 year(s),"₹ 2,00,000 - 3,00,000","ceo office manager brave artificial intelligence laboratory                        
actively hiring betul"
"PROVEN PATH CONSULTANCY                        
Actively hiring",Corporate Sales Executive,Gurgaon,1 year(s),"₹ 2,00,000 - 7,00,000","corporate sales executive proven path consultancy                        
actively hiring gurgaon"
"Moonstone Hammock                        
Actively hiring",Junior Operations Executive,Mumbai,1 year(s),"₹ 2,00,000 - 2,20,000","junior operations executive moonstone hammock                        
actively hiring mumbai"
"Akaaro                        
Actively hiring",Corporate Sales Executive,Gurgaon,1 year(s),"₹ 3,00,000 - 5,00,000","corporate sales executive akaaro                        
actively hiring gurgaon"
"Technoculture Research                        
Actively hiring",RESEARCH SCIENTIST,Varanasi,1 year(s),"₹ 4,00,000 - 7,00,000","research scientist technoculture research                        
actively hiring varanasi"
"Highway Delite                        
Actively hiring",Field Sales Executive,Delhi,1 year(s),"₹ 2,00,000 - 2,10,000","field sales executive highway delite                        
actively hiring delhi"
"Showrider Entertainment                        
Actively hiring",Business Development Executive,Kochi,0 year(s),"₹ 2,00,000","business development executive showrider entertainment                        
actively hiring kochi"
"Diasimos Private Limited                        
Actively hiring",Accountant,Ahmedabad,1 year(s),"₹ 2,00,000 - 3,00,000","accountant diasimos private limited                        
actively hiring ahmedabad"
"GenElek Technologies Private Limited                        
Actively hiring",Physiotherapist,Delhi,1 year(s),"₹ 3,00,000 - 4,00,000","physiotherapist genelek technologies private limited                        
actively hiring delhi"
"TalentXO                        
Actively hiring",International Sales Executive,Mumbai,1 year(s),"₹ 3,00,000 - 4,00,000","international sales executive talentxo                        
actively hiring mumbai"
"Biplob World Private Limited                        
Actively hiring",Corporate Sales Executive,Mumbai,1 year(s),"₹ 4,00,000 - 6,00,000","corporate sales executive biplob world private limited                        
actively hiring mumbai"
"Adpeak Media                        
Actively hiring",Performance Marketer (E Commerce),Jaipur,1 year(s),"₹ 3,00,000 - 6,00,000","performance marketer (e commerce) adpeak media                        
actively hiring jaipur"
"Wehire Talent Solutions                        
Actively hiring",Customer Acquisition Executive,Mumbai,1 year(s),"₹ 2,00,000 - 4,50,000","customer acquisition executive wehire talent solutions                        
actively hiring mumbai"
"RAVESHIA COLOURS PRIVATE LIMITED                        
Actively hiring",Administration Executive,Mumbai,1 year(s),"₹ 3,50,000 - 5,00,000","administration executive raveshia colours private limited                        
actively hiring mumbai"
"91Squarefeet                        
Actively hiring",Sales Development Representative (Female),Gurgaon,1 year(s),"₹ 3,00,000 - 4,00,000","sales development representative (female) 91squarefeet                        
actively hiring gurgaon"
"The Prime Men                        
Actively hiring",Junior Video Editor,"Thane, Navi Mumbai, Mumbai                                                    (Hybrid)",1 year(s),"₹ 2,40,000 - 3,00,000","junior video editor the prime men                        
actively hiring thane, navi mumbai, mumbai                                                    (hybrid)"
"Thomas Cook                        
Actively hiring",Telecaller,Mumbai,1 year(s),"₹ 2,50,000 - 3,50,000","telecaller thomas cook                        
actively hiring mumbai"
"BookMyShow                        
Actively hiring",Technical Writer-I,Mumbai                                                    (Hybrid),1 year(s),"₹ 3,00,000 - 4,00,000","technical writer-i bookmyshow                        
actively hiring mumbai                                                    (hybrid)"
"Prime Dental Products Pvt Ltd                        
Actively hiring",Business Development Executive,"Ahmedabad, Surat",0 year(s),"₹ 2,40,000 - 6,00,000","business development executive prime dental products pvt ltd                        
actively hiring ahmedabad, surat"
"Movie'ing Moments                        
Actively hiring",Business Development Manager,Mumbai,1 year(s),"₹ 4,80,000 - 7,50,000","business development manager movie'ing moments                        
actively hiring mumbai"
"Mudraksh & McShaw Tech LLP.                        
Actively hiring",HR Recruiter And Generalist,Noida,1 year(s),"₹ 2,40,000 - 3,00,000","hr recruiter and generalist mudraksh & mcshaw tech llp.                        
actively hiring noida"
"Think Lavish Trousers                        
Actively hiring",Accountant,Pimpri-Chinchwad,0 year(s),"₹ 2,00,000 - 3,00,000","accountant think lavish trousers                        
actively hiring pimpri-chinchwad"
"Pentableu                        
Actively hiring",Client Service Executive,Mumbai,1 year(s),"₹ 2,40,000 - 2,60,000","client service executive pentableu                        
actively hiring mumbai"
"GenElek Technologies Private Limited                        
Actively hiring",Prosthetist And Orthotist,Delhi,1 year(s),"₹ 3,00,000 - 5,00,000","prosthetist and orthotist genelek technologies private limited                        
actively hiring delhi"
"Axe Consultancy And Security Services LLC                        
Actively hiring",Human Resources (HR) Executive,Dehradun,1 year(s),"₹ 2,40,000 - 4,00,000","human resources (hr) executive axe consultancy and security services llc                        
actively hiring dehradun"
"Supreme Securities Limited                        
Actively hiring",Partnerships Associate,Delhi,1 year(s),"₹ 3,00,000 - 6,00,000","partnerships associate supreme securities limited                        
actively hiring delhi"
"Cosmos Staffing Solutions                        
Actively hiring",Field Sales Executive (Project Sales),Gurgaon,1 year(s),"₹ 2,50,000 - 3,00,000","field sales executive (project sales) cosmos staffing solutions                        
actively hiring gurgaon"
"Hottley Holidays LLP                        
Actively hiring",Customer Acquisition Manager,Jaipur,0 year(s),"₹ 2,00,000 - 3,00,000","customer acquisition manager hottley holidays llp                        
actively hiring jaipur"
"IIDE Education Private Limited                        
Actively hiring",Content Writer,Mumbai,1 year(s),"₹ 3,00,000 - 3,50,000","content writer iide education private limited                        
actively hiring mumbai"
"Sprout Media                        
Actively hiring",Video Editor,Delhi,1 year(s),"₹ 2,64,000 - 3,00,000","video editor sprout media                        
actively hiring delhi"
"WEMATTER PXT Limited                        
Actively hiring",Lead Generation Executive,Mumbai,0 year(s),"₹ 2,00,000 - 4,00,000","lead generation executive wematter pxt limited                        
actively hiring mumbai"
"GenElek Technologies Private Limited                        
Actively hiring",Embedded Systems Associate,Delhi,1 year(s),"₹ 3,60,000 - 4,00,000","embedded systems associate genelek technologies private limited                        
actively hiring delhi"
"Powerfabrica Pvt Ltd                        
Actively hiring",Marketing Engineer,Pune,0 year(s),"₹ 2,30,000 - 3,00,000","marketing engineer powerfabrica pvt ltd                        
actively hiring pune"
"Impresio Studio                        
Actively hiring",Client Relationship Manager,Noida,1 year(s),"₹ 3,60,000 - 4,20,000","client relationship manager impresio studio                        
actively hiring noida"
"52 Sundaze                        
Actively hiring",Operations Associate,Gurgaon                                                    (Hybrid),0 year(s),"₹ 3,00,000 - 3,00,001","operations associate 52 sundaze                        
actively hiring gurgaon                                                    (hybrid)"
"Cosmos Staffing Solutions                        
Actively hiring",Business Development Executive,Mumbai,1 year(s),"₹ 3,00,000 - 4,00,000","business development executive cosmos staffing solutions                        
actively hiring mumbai"
"APN News Digital                        
Actively hiring",Corporate Sales Associate,Noida,1 year(s),"₹ 2,00,000 - 4,00,000","corporate sales associate apn news digital                        
actively hiring noida"
"Zenius                        
Actively hiring",Human Resource Generalist,Jaipur,1 year(s),"₹ 2,16,000 - 3,00,000","human resource generalist zenius                        
actively hiring jaipur"
"Growify Digital                        
Actively hiring",Client Service Associate,Delhi,1 year(s),"₹ 2,00,000 - 3,50,000","client service associate growify digital                        
actively hiring delhi"
"Bosscoder Academy                        
Actively hiring",Operations Associate,Noida,1 year(s),"₹ 3,60,000 - 5,00,000","operations associate bosscoder academy                        
actively hiring noida"
"Kapable.club                        
Actively hiring",Inside Sales Professional,Delhi,1 year(s),"₹ 4,00,000 - 8,00,000","inside sales professional kapable.club                        
actively hiring delhi"
"Exquisite Employee Manifest                        
Actively hiring",CAD Designer,Gurgaon,1 year(s),"₹ 4,00,000 - 8,00,000","cad designer exquisite employee manifest                        
actively hiring gurgaon"
"WEMATTER PXT Limited                        
Actively hiring",Business Awards Executive,Mumbai,0 year(s),"₹ 2,00,000 - 2,50,000","business awards executive wematter pxt limited                        
actively hiring mumbai"
"TheCoinRepublic                        
Actively hiring",Content Writer,Delhi,1 year(s),"₹ 3,50,000 - 4,80,000","content writer thecoinrepublic                        
actively hiring delhi"
"Ranuj Mahajan                        
Actively hiring",Store Mananger,Gurgaon,1 year(s),"₹ 2,20,000 - 2,40,000","store mananger ranuj mahajan                        
actively hiring gurgaon"
"Itee Bhardwaj & Co.                        
Actively hiring",Junior Accountant,Delhi,1 year(s),"₹ 2,00,000 - 2,16,000","junior accountant itee bhardwaj & co.                        
actively hiring delhi"
"The Skillians                        
Actively hiring",Business Development Specialist,"Gurgaon, Noida",0 year(s),"₹ 2,50,000 - 3,00,000","business development specialist the skillians                        
actively hiring gurgaon, noida"
"Acadmus                        
Actively hiring",Business Development Associate,Greater Noida,0 year(s),"₹ 2,40,000 - 5,50,000","business development associate acadmus                        
actively hiring greater noida"
"Rudralife                        
Actively hiring",Video Editor,Mumbai,1 year(s),"₹ 5,00,000","video editor rudralife                        
actively hiring mumbai"
"Tech Burner                        
Actively hiring",Cinematographer,Bangalore,1 year(s),"₹ 3,60,000 - 4,20,000","cinematographer tech burner                        
actively hiring bangalore"
